Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.3081200731884529,0.002533734336575621,0.3148850318661779,0.0024133218126858123,72.66666666666667,1.699673171197595,4.0929824561403505,0.1910428847416287
GFN,0.31595180271709816,0.004803997781039726,0.3338560829516843,0.002826253239843878,100.0,0.0,5.787719298245615,0.1888064926292841
Random,0.3157206163909642,0.014497211665514063,0.3556663833086904,0.007681281416680399,100.0,0.0,7.550877192982456,0.14776471360874072
