Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.2975636953276965,0.0027602478386661595,0.29850168415332895,0.003186313132244631,1531.0,183.31575673320248,2.573684210526316,0.4938027763207936
GFN,0.31595180271709816,0.004803997781039726,0.3338560829516843,0.002826253239843878,100.0,0.0,5.787719298245615,0.1888064926292841
Random,0.30315817645215887,0.0010267773789445146,0.3081943521655201,0.0013354055678033417,5098.666666666667,1.247219128924647,6.043859649122807,0.08292141963576492
