Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.2975636953276965,0.0027602478386661595,0.2984508693961602,0.0032228455466501715,1602.3333333333333,149.1270897217836,2.592982456140351,0.4761404801613291
GFN,0.3116733060692833,0.0033691096865607496,0.32493683203695484,0.007605209165044118,99.33333333333333,0.4714045207910317,5.41578947368421,0.21929122795789108
Random,0.30315817645215887,0.0010267773789445146,0.3081943521655201,0.0013354055678033417,5098.666666666667,1.247219128924647,6.043859649122807,0.08292141963576492
