Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.5417977953998736,0.002856539615435083,0.5598880528270764,0.008911128601408802,51.5,0.5,5.186842105263159,0.3078947368421052
GFN,0.5392523413768766,0.002198191160727503,0.5612860452625438,0.0010341932642609075,100.0,0.0,6.813157894736841,0.12368421052631584
Random,0.5474188986161402,0.005921408723279731,0.7086565338663099,0.0450099120138604,100.0,0.0,7.405263157894737,0.0631578947368423
