Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.5283210834037131,0.0018531221235116857,0.5312438852337257,0.0019589667693832302,678.0,5.0,3.1947368421052635,0.2894736842105263
GFN,0.5392523413768766,0.002198191160727503,0.5612860452625438,0.0010341932642609075,100.0,0.0,6.813157894736841,0.12368421052631584
Random,0.531375996169749,0.0002768002201578579,0.5447839683529212,0.0010148139904115894,2099.0,1.0,6.128947368421052,0.08684210526315761
