Method,Best final loss mean,Best final loss std,Mean sampled loss mean,Mean sampled loss std,Median sampled loss mean,Median sampled loss std,Unique states mean,Unique states std,Mean pairwise Hamming mean,Mean pairwise Hamming std
TPE,0.2975636953276965,0.0027602478386661595,0.33283037514957675,0.001958664836483689,0.31198964607891555,0.0003948115844529664,1531.0,183.31575673320248,5.367458054727045,0.3567397460172415
GFN,0.3116733060692833,0.0033691096865607496,0.43048917137245013,0.006790888337449999,0.44405132977508294,0.0060616529589993485,100.0,0.0,6.356094276094276,0.05111319603773373
Random,0.2995323429315122,0.002750282005985892,0.4400530458975551,0.00033648235340169656,0.4487633959942296,0.0005297267654153423,5096.333333333333,0.4714045207910317,7.847624396302052,3.375609326185593e-05
