state_key,loss,n_cycles,step_fraction,decay_factor,beta,loss_type,huber_delta,relative_floor_frac,relative_floor_abs,fake_data
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__higher_resp_cost|canopy__increase|photo__higher_sensitivity|temp_inhib__shift_cold|temp_dev__higher_sensitivity|biomass__more_veg_growth,0.7800827511992382,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__higher_resp_cost|canopy__none|photo__decrease|temp_inhib__narrow_optimum|temp_dev__increase|biomass__none,0.6963395315215228,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__higher_resp_cost|canopy__none|photo__increase|temp_inhib__shift_cold|temp_dev__decrease|biomass__lower_resp_cost,0.9955744950897492,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__higher_resp_cost|canopy__none|photo__none|temp_inhib__shift_cold|temp_dev__decrease|biomass__lower_resp_cost,0.9956992628631774,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__higher_sensitivity|canopy__decrease|photo__increase|temp_inhib__narrow_optimum|temp_dev__none|biomass__none,0.9637322386637728,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__higher_sensitivity|canopy__increase|photo__increase|temp_inhib__shift_cold|temp_dev__lower_sensitivity|biomass__more_veg_growth,0.9814639523926786,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__lower_sensitivity|canopy__increase|photo__increase|temp_inhib__shift_cold|temp_dev__lower_sensitivity|biomass__higher_sensitivity,0.9751019949226464,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__lower_sensitivity|canopy__increase|photo__lower_sensitivity|temp_inhib__shift_warm|temp_dev__lower_sensitivity|biomass__higher_sensitivity,0.9215139976262092,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__lower_sensitivity|canopy__none|photo__decrease|temp_inhib__none|temp_dev__higher_sensitivity|biomass__more_veg_growth,0.5851250418485611,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__more_fruit_growth|canopy__decrease|photo__lower_sensitivity|temp_inhib__narrow_optimum|temp_dev__increase|biomass__more_fruit_growth,0.7260111402448121,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__more_fruit_growth|canopy__increase|photo__none|temp_inhib__widen_optimum|temp_dev__decrease|biomass__higher_sensitivity,0.9600761510204848,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__more_veg_growth|canopy__none|photo__higher_sensitivity|temp_inhib__widen_optimum|temp_dev__increase|biomass__more_fruit_growth,1.1077459539344168,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__none|canopy__increase|photo__higher_sensitivity|temp_inhib__none|temp_dev__lower_sensitivity|biomass__more_fruit_growth,0.9304304964433294,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
canopy__decrease|photo__decrease|temp_inhib__narrow_optimum|temp_dev__decrease|biomass__none|canopy__none|photo__higher_sensitivity|temp_inhib__shift_cold|temp_dev__increase|biomass__lower_sensitivity,0.649398176040886,2,0.3,0.5,,absolute_relative,1.0,0.05,1e-06,0
