Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.4738159346878702,0.03149959868585503,0.48780008974621913,0.04151476164594148,632.0,145.0,3.2815789473684207,1.1815789473684208
GFN,0.5349809749609311,0.0010950817134706692,0.6107107073570875,0.012451343241016821,100.0,0.0,7.613157894736842,0.03947368421052655
Random,0.5067180653709829,0.00492105393781761,0.543134029017396,0.004517543222564369,2099.0,1.0,6.739473684210527,0.013157894736842035
