Method,Best final loss mean,Best final loss std,Median top-loss-k mean,Median top-loss-k std,Unique states mean,Unique states std,Mean Hamming top-unique mean,Mean Hamming top-unique std
TPE,0.5946778861798792,0.030629709534983562,0.6696951642182344,0.027370676331124666,44.0,3.0,6.386842105263158,0.5921052631578947
GFN,0.5349809749609311,0.0010950817134706692,0.6107107073570875,0.012451343241016821,100.0,0.0,7.613157894736842,0.03947368421052655
Random,0.5704646042244458,0.023546616277396293,0.6709715731196527,0.022481066938700778,100.0,0.0,7.660526315789474,0.07105263157894726
